vendor_id,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
3,1,2.38,11.5,0.0,0.5,2.46,0.0,0.3,14.76
3,1,0.32,3.5,1.0,0.5,0.0,0.0,0.3,5.3
3,1,0.96,10.0,1.0,0.5,0.0,0.0,0.3,11.8
3,1,17.51,52.0,0.0,0.5,11.67,5.54,0.3,70.01
3,1,0.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8
3,1,1.01,8.0,0.5,0.5,0.0,0.0,0.3,9.3
3,1,0.83,4.5,0.0,0.5,0.0,0.0,0.3,5.3
3,1,2.39,14.5,0.0,0.5,0.0,0.0,0.3,15.3
3,1,7.08,24.0,0.5,0.5,0.0,0.0,0.3,25.3
3,1,4.78,18.0,0.5,0.5,0.0,0.0,0.3,19.3
3,1,2.62,11.5,0.5,0.5,0.0,0.0,0.3,12.8
3,1,4.83,21.0,0.5,0.5,4.46,0.0,0.3,26.76
3,1,7.26,27.5,0.0,0.5,0.0,0.0,0.3,28.3
3,1,0.56,4.5,0.5,0.5,0.0,0.0,0.3,5.8
3,1,0.78,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3,1,2.3,12.0,0.0,0.5,0.0,0.0,0.3,12.8
3,1,2.03,10.0,1.0,0.5,2.36,0.0,0.3,14.16
3,1,2.53,11.5,0.5,0.5,0.0,0.0,0.3,12.8
3,1,1.04,7.5,0.0,0.5,0.0,0.0,0.3,8.3
3,1,0.67,5.0,0.5,0.5,0.63,0.0,0.3,6.93
3,1,1.88,8.0,0.5,0.5,0.0,0.0,0.3,9.3
3,1,2.48,18.0,0.5,0.5,0.0,0.0,0.3,19.3
3,1,4.33,21.5,0.0,0.5,5.58,0.0,0.3,27.88
3,1,0.76,5.5,0.0,0.5,1.58,0.0,0.3,7.88
3,1,2.08,9.5,0.5,0.5,2.16,0.0,0.3,12.96
3,1,3.85,18.5,0.0,0.5,0.0,0.0,0.3,19.3
3,1,1.98,18.5,0.0,0.5,3.86,0.0,0.3,23.16
3,1,1.37,9.0,0.0,0.5,1.96,0.0,0.3,11.76
3,1,0.76,7.5,0.0,0.5,1.66,0.0,0.3,9.96
3,1,1.5,7.0,0.5,0.5,0.0,0.0,0.3,8.3
3,1,2.18,9.5,0.5,0.5,2.16,0.0,0.3,12.96
3,1,1.87,9.0,0.0,0.5,0.0,0.0,0.3,9.8
3,1,0.64,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3,1,1.75,13.0,1.0,0.5,2.96,0.0,0.3,17.76
3,1,2.81,11.5,0.0,0.5,0.0,0.0,0.3,12.3
3,1,2.27,10.0,0.5,0.5,0.0,0.0,0.3,11.3
3,1,2.83,12.0,0.5,0.5,1.33,0.0,0.3,14.63
3,1,2.31,15.5,0.0,0.5,1.63,0.0,0.3,17.93
3,1,1.99,12.0,0.5,0.5,1.33,0.0,0.3,14.63
3,1,1.53,8.0,0.0,0.5,0.0,0.0,0.3,8.8
3,1,1.33,13.0,1.0,0.5,1.48,0.0,0.3,16.28
3,1,3.12,16.5,0.0,0.5,0.0,0.0,0.3,17.3
3,1,0.45,5.5,0.5,0.5,1.7,0.0,0.3,8.5
3,1,7.23,29.5,0.5,0.5,0.0,0.0,0.3,30.8
3,1,1.73,8.5,1.0,0.5,0.0,0.0,0.3,10.3
3,1,2.0,20.5,0.0,0.5,0.0,0.0,0.3,21.3
3,1,3.15,13.0,0.5,0.5,2.57,0.0,0.3,16.87
3,1,2.67,11.5,0.0,0.5,0.0,0.0,0.3,12.3
3,1,1.32,6.5,0.5,0.5,1.56,0.0,0.3,9.36
3,1,5.22,18.5,0.5,0.5,3.96,0.0,0.3,23.76
3,1,16.97,52.0,0.0,0.5,11.67,5.54,0.3,70.01
3,1,1.03,6.5,0.0,0.5,1.46,0.0,0.3,8.76
3,1,0.67,7.5,1.0,0.5,1.4,0.0,0.3,10.7
3,1,0.49,4.0,0.0,0.5,0.0,0.0,0.3,4.8
3,1,0.43,3.5,0.0,0.5,0.0,0.0,0.3,4.3
3,1,1.59,11.0,0.0,0.5,0.0,0.0,0.3,11.8
3,1,0.73,5.5,0.5,0.5,0.0,0.0,0.3,6.8
3,1,5.68,21.5,0.0,0.5,0.0,0.0,0.3,22.3
3,1,2.02,10.0,0.0,0.5,0.0,0.0,0.3,10.8
3,1,6.06,19.0,0.5,0.5,4.06,0.0,0.3,24.36
3,1,0.0,2.5,0.5,0.5,0.0,5.54,0.3,9.34
3,1,1.0,7.0,1.0,0.5,0.0,0.0,0.3,8.8
3,1,0.84,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3,1,2.0,12.5,0.0,0.5,2.0,0.0,0.3,15.3
3,1,2.89,15.0,0.0,0.5,3.16,0.0,0.3,18.96
3,1,0.71,4.0,0.5,0.5,0.0,0.0,0.3,5.3
3,1,2.04,10.0,0.5,0.5,0.0,0.0,0.3,11.3
3,1,2.66,15.5,0.0,0.5,2.45,0.0,0.3,18.75
3,1,4.1,28.0,1.0,0.5,2.98,0.0,0.3,32.78
3,1,0.64,4.5,0.0,0.5,0.0,0.0,0.3,5.3
3,1,1.34,6.5,0.5,0.5,1.4,0.0,0.3,9.2
3,1,0.78,9.0,1.0,0.5,0.0,0.0,0.3,10.8
3,1,1.54,9.0,0.5,0.5,0.0,0.0,0.3,10.3
3,1,2.8,11.5,1.0,0.5,2.0,0.0,0.3,15.3
3,1,16.89,45.0,18.0,0.5,18.2,37.0,0.6,119.3
3,1,1.87,12.0,0.0,0.5,0.0,0.0,0.3,12.8
3,1,0.45,4.0,0.5,0.5,0.0,0.0,0.3,5.3
3,1,1.7,9.0,1.0,0.5,1.3,0.0,0.3,12.1
3,1,6.13,23.0,0.5,0.5,4.86,0.0,0.3,29.16
3,1,1.68,11.0,1.0,0.5,0.0,0.0,0.3,12.8
3,1,2.48,10.5,0.5,0.5,3.54,0.0,0.3,15.34
3,1,1.68,12.5,1.0,0.5,2.86,0.0,0.3,17.16
3,1,0.55,4.5,1.0,0.5,0.0,0.0,0.3,6.3
3,1,0.61,7.0,0.0,0.5,1.56,0.0,0.3,9.36
3,1,5.62,22.5,0.0,0.5,4.66,0.0,0.3,27.96
3,1,0.68,5.0,0.5,0.5,0.0,0.0,0.3,6.3
3,1,0.65,4.0,0.5,0.5,0.53,0.0,0.3,5.83
3,1,9.43,37.0,0.0,0.5,0.0,5.54,0.3,43.34
3,1,1.31,7.0,0.5,0.5,0.0,0.0,0.3,8.3
3,1,1.23,7.0,1.0,0.5,0.0,0.0,0.3,8.8
3,1,16.99,52.0,0.0,0.5,0.0,0.0,0.3,52.8
3,1,11.56,37.0,0.5,0.5,0.0,0.0,0.3,38.3
3,1,2.29,12.0,0.5,0.5,0.0,0.0,0.3,13.3
3,1,0.63,7.5,0.0,0.5,8.3,0.0,0.3,16.6
3,1,0.75,7.0,0.0,0.5,0.0,0.0,0.3,7.8
3,1,6.4,50.0,0.0,0.5,0.0,0.0,0.3,50.8
3,1,1.5,9.5,1.0,0.5,0.0,0.0,0.3,11.3
3,1,5.48,18.5,0.5,0.5,3.96,0.0,0.3,23.76
3,1,0.74,4.5,0.0,0.5,0.95,0.0,0.3,6.25
3,1,1.06,7.5,0.5,0.5,0.0,0.0,0.3,8.8
3,1,6.63,22.5,0.5,0.5,0.0,0.0,0.3,23.8
3,1,2.14,13.0,0.0,0.5,1.38,0.0,0.3,15.18
3,1,4.07,14.5,0.5,0.5,0.0,0.0,0.3,15.8
3,1,3.2,15.0,0.5,0.5,0.0,0.0,0.3,16.3
3,1,3.48,14.0,0.0,0.5,0.0,0.0,0.3,14.8
3,1,1.08,6.0,0.5,0.5,0.0,0.0,0.3,7.3
3,1,1.07,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3,1,1.5,7.0,0.5,0.5,0.0,0.0,0.3,8.3
3,1,1.11,6.0,0.0,0.5,0.0,0.0,0.3,6.8
3,1,1.93,9.0,0.5,0.5,0.0,0.0,0.3,10.3
3,1,0.85,8.5,1.0,0.5,2.06,0.0,0.3,12.36
3,1,0.89,5.0,0.0,0.5,0.0,0.0,0.3,5.8
3,1,4.48,15.0,0.5,0.5,0.0,0.0,0.3,16.3
3,1,8.5,25.5,0.5,0.5,6.47,5.54,0.3,38.81
3,1,1.81,8.5,0.5,0.5,0.0,0.0,0.3,9.8
3,1,2.07,10.0,0.0,0.5,0.0,0.0,0.3,10.8
3,1,7.79,27.0,0.5,0.5,0.0,0.0,0.3,28.3
3,1,3.34,14.0,0.0,0.5,0.3,0.0,0.3,15.1
3,1,0.78,6.0,0.0,0.5,1.36,0.0,0.3,8.16
3,1,8.08,25.5,0.5,0.5,2.68,0.0,0.3,29.48
